TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
Classe;43.946.598/0001-19;MENESTYS II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.002.502/0001-27;KP GUARDIAN FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.002.535/0001-77;BEX FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;77271865.50;0.00;35822338.59;0.00;0.00;1026324.28;1291194.21;0.00;3530303.35;77271865.50;0.00;35822338.59;0.00;0.00;1026324.28;1291194.21;0.00;3530303.35;36660596.10
Classe;44.062.556/0001-88;ARES FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;258144274.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;258144274.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.062.564/0001-24;SFT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;473403135.10;0.00;11378406.90;55652.20;0.00;0.00;0.00;772725.90;1948417.20;473403135.10;0.00;11378406.90;55652.20;0.00;0.00;0.00;772725.90;1948417.20;0.00
Classe;44.062.576/0001-59;PRECPAGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.076.714/0001-59;STRATEGI SINGLE NAME NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;91967608.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;91967608.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.124.465/0001-20;TMAQ 21 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE ARRANJOS DE PAGAMENTO DE RESPONSABILIDADE L;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.124.617/0001-94;CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO;2025-06-30;1196745588.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1196745588.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.269/0001-45;KEPLER WEBER FIAGRO-DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.345/0001-12;ACCESS ASA DISTRESSED FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.399/0001-88;H2 ISP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.416/0001-87;BTAG MASTER I FIAGRO - DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.467/0001-09;MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.493/0001-37;EXES SPECIAL OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.173.512/0001-25;SUPER RENDA MENSAL FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.178.497/0001-08;XP CREDIT SELECTION FIC DE FIDC RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.179.672/0001-81;LATACHE CRÉDITO ESTRUTURADO FIDC;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.197.635/0001-04;ARROBANK RECEBÍVEIS AGROPECUÁRIOS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE;2025-06-30;17230569.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17230569.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.229.197/0001-00;EUV SP1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;0.00;0.00;1985617356.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1985617356.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.230.592/0001-03;BRAM HIGH YIELD FIDC II - RESP LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.271.111/0001-08;GUARDIAN CAPITAL CONSIG I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.272.584/0001-20;LAVORO AGRO FIAGRO - DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;50777881.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50777881.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.272.660/0001-05;PRECATO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;25183920.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25183920.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.273.371/0001-12;GRYPHON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-06-30;2500000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2500000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.302.001/0001-66;CULTTIVO CRÉDITO AGRÍCOLA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;2025-06-30;145714862.01;0.00;2305532.97;0.00;0.00;0.00;0.00;0.00;0.00;145714862.01;0.00;2305532.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.302.089/0001-16;BLACK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;0.00;0.00;3825088.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3825088.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.302.112/0001-72;CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA;2025-06-30;1223206072.80;0.00;8836294.00;0.00;0.00;0.00;0.00;0.00;0.00;1223206072.80;0.00;8836294.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.302.374/0001-37;CREDILOG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;7800000.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7800000.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.345.159/0001-13;GENTE DO BULLLA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.372.728/0001-10;AURORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - RESPONSABILIDADE LIMITADA;2025-06-30;88112781.69;2059283.84;2031546.64;4687285.78;5940526.31;3116837.57;2348373.03;2413164.28;50515899.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.203/0001-08;DOMINÓ CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.252/0001-32;B2CYCLE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;150520015.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;150520015.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.262/0001-78;SAN PRECA FEDERAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;44.395.279/0001-25;JUGIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
