TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_VL_RENTAB_MES
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Subordinada Mezanino 2 | Série 1;1.56
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Subordinada Subordinada 1 |;3.26
Classe;55.658.832/0001-91;MOOREA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
Classe;55.658.832/0001-91;MOOREA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;21.32
Classe;55.659.693/0001-10;CONSULT PRECATÓRIOS E RECEBÍVEIS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.659.693/0001-10;CONSULT PRECATÓRIOS E RECEBÍVEIS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-1.99
Classe;55.659.693/0001-10;CONSULT PRECATÓRIOS E RECEBÍVEIS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;0.89
Classe;55.665.127/0001-11;WH INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.665.127/0001-11;WH INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-22.83
Classe;55.675.974/0001-67;LUME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.675.974/0001-67;LUME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.25
Classe;55.676.289/0001-55;MIDCARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.10
Classe;55.676.289/0001-55;MIDCARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.35
Classe;55.682.228/0001-09;SPECIALE FI EM COTAS DE FUNDOS DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.31
Classe;55.682.228/0001-09;SPECIALE FI EM COTAS DE FUNDOS DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.33
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 2;1.33
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 3;1.33
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 4;1.33
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2.96
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.49
Classe;55.685.665/0001-78;IRONWOOD CONSIG MULTI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 2;1.49
