TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
Classe;58.199.148/0001-87;FARMTECH AGRO I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC RESP LTDA;2025-06-30;Subclasse Subordinada Subordinada 1 |;5000.00000000;946.16730200
Classe;58.199.148/0001-87;FARMTECH AGRO I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC RESP LTDA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;10000.00000000;1098.61449879
Classe;58.211.468/0001-05;CREDIPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;17917.12000000;1012.52000000
Classe;58.211.468/0001-05;CREDIPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2709.42000000;1066.13000000
Classe;58.212.304/0001-00;BAROLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;339973.10000000;1068.14000000
Classe;58.212.304/0001-00;BAROLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00000000;0.00000000
Classe;58.215.693/0001-10;SEGUE ÁRTICO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;161432.84668851;1059.93335353
Classe;58.215.693/0001-10;SEGUE ÁRTICO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;11545.96191455;1062.06198762
Classe;58.215.693/0001-10;SEGUE ÁRTICO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;19759.78084475;1067.46027933
Classe;58.223.324/0001-79;SV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.223.324/0001-79;SV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;43778.48152404;1113.30330092
Classe;58.223.658/0001-42;CORRESPONDENTE BANQUEIRO XP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LTDA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.223.658/0001-42;CORRESPONDENTE BANQUEIRO XP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LTDA;2025-06-30;Subclasse Subordinada Subordinada 1 |;431999.40508521;989.78746055
Classe;58.231.315/0001-20;RWM PARTENAIRES 2 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.231.315/0001-20;RWM PARTENAIRES 2 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;14549.78732000;1073.93900517
Classe;58.236.968/0001-00;PLGN ARTON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;45674027.02000000;1.09000000
Classe;58.236.968/0001-00;PLGN ARTON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00000000;0.00000000
Classe;58.238.421/0001-35;SEVEN MP FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;4065.57253333;1018.01846999
Classe;58.238.421/0001-35;SEVEN MP FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;980.00000000;876.68796939
Classe;58.238.773/0001-90;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONRETORNO - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.238.773/0001-90;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONRETORNO - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;47110.78035947;980.63744959
Classe;58.240.814/0001-83;BRAM HIGH YIELD FIDC IV - RESP LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.240.814/0001-83;BRAM HIGH YIELD FIDC IV - RESP LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;83770455.13836960;1.08542530
Classe;58.241.476/0001-02;PORT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.241.476/0001-02;PORT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;20202.76506079;892.79097815
Classe;58.242.641/0001-32;DC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;20000.00000000;646.18457550
Classe;58.242.641/0001-32;DC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;4000.00000000;913.48560000
Classe;58.242.641/0001-32;DC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;16000.00000000;1006.03766688
Classe;58.255.305/0001-24;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DIGITAL CASH CONSIG;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.255.305/0001-24;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DIGITAL CASH CONSIG;2025-06-30;Subclasse Subordinada Subordinada 1 |;2053.92604507;454.89475741
Classe;58.265.368/0001-61;OCTOPUS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.265.368/0001-61;OCTOPUS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;8913.43342766;6189.75164397
Classe;58.284.749/0001-98;TVP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.284.749/0001-98;TVP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;9922.27022053;1008.05890262
Classe;58.288.437/0001-52;ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA;2025-06-30;Subclasse Senior Série 1;20000.00000000;1004.36447010
Classe;58.288.437/0001-52;ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA;2025-06-30;Subclasse Subordinada Subordinada 1 |;21265.22963235;1245.39908658
Classe;58.291.217/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAIN3 CAPITAL;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.291.217/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAIN3 CAPITAL;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00000000;0.00000000
Classe;58.293.429/0001-02;AZURE II FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.293.429/0001-02;AZURE II FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2363.06448388;1053.63225464
Classe;58.304.663/0001-80;TCG IRON I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;8951.21249850;1063.09103840
